sample_id,task_type,natural_language_request_ko,sensitive_fields_json,sensitive_categories,expected_answer_normalized,c3_required,c3_relation_type,notes
B3-011,qos_config,"IMSI 001010000000109, IP 10.22.7.81의 uplink가 500Mbps까지 튀어. 해당 가입자 uplink를 50Mbps로 제한하는 QoS 정책을 만들어줘.","{""IMSI"": ""001010000000109"", ""IP"": ""10.22.7.81"", ""direction"": ""uplink"", ""rate"": ""500Mbps"", ""limit"": ""50Mbps""}",User identity;Traffic metadata;Policy and configuration,qos set imsi=001010000000109 src_ip=10.22.7.81 direction=uplink rate_limit=50Mbps,no,none,
B3-012,qos_config,Cell Cell-32B의 UE 001010000000110가 비디오 트래픽으로 지연을 만들고 있어. DSCP AF41로 낮추고 20Mbps 제한을 걸어줘.,"{""IMSI"": ""001010000000110"", ""CELL_ID"": ""Cell-32B"", ""application"": ""video"", ""DSCP"": ""AF41"", ""limit"": ""20Mbps""}",User identity;Location and mobility;Traffic metadata;Policy and configuration,qos set imsi=001010000000110 cell=Cell-32B app=video dscp=AF41 rate_limit=20Mbps,no,none,
B3-013,qos_config,"다음 두 로그의 동일 가입자 트래픽을 하나의 QoS 정책으로 묶어줘.
09:01 IMSI=001010000000111 IP=10.30.8.9 flow=video rate=180Mbps
09:02 IMSI=001010000000111 IP=10.30.8.9 flow=video rate=210Mbps","{""IMSI"": ""001010000000111"", ""IP"": ""10.30.8.9"", ""application"": ""video"", ""rates"": [""180Mbps"", ""210Mbps""]}",User identity;Traffic metadata;Policy and configuration,qos set imsi=001010000000111 src_ip=10.30.8.9 app=video rate_limit=30Mbps,yes,same_subscriber_repeated_traffic_logs,C3: same subscriber appears in multiple traffic observations.
B3-014,qos_config,UPF UPF-A에서 IP 10.30.8.10의 TCP 443 다운로드가 과도해. downlink 100Mbps로 제한해줘.,"{""UPF"": ""UPF-A"", ""IP"": ""10.30.8.10"", ""protocol"": ""TCP"", ""dst_port"": ""443"", ""direction"": ""downlink"", ""limit"": ""100Mbps""}",User identity;Traffic metadata;Network topology;Policy and configuration,qos set upf=UPF-A src_ip=10.30.8.10 proto=TCP dst_port=443 direction=downlink rate_limit=100Mbps,no,none,
B3-015,qos_config,S-NSSAI 1-010001에 있는 IMSI 001010000000112의 AR 트래픽을 우선순위 high로 올려줘. 현재 셀은 Cell-45C이야.,"{""S_NSSAI"": ""1-010001"", ""IMSI"": ""001010000000112"", ""CELL_ID"": ""Cell-45C"", ""application"": ""AR""}",User identity;Location and mobility;Traffic metadata;Network topology;Policy and configuration,qos set slice=1-010001 imsi=001010000000112 app=AR priority=high cell=Cell-45C,no,none,
B3-016,qos_config,UE-ID UE-000113의 게임 트래픽 지연이 높아. IP 192.0.2.10에 대해 UDP 3074를 low-latency class로 설정해줘.,"{""UE_ID"": ""UE-000113"", ""IP"": ""192.0.2.10"", ""protocol"": ""UDP"", ""dst_port"": ""3074"", ""application"": ""game""}",User identity;Traffic metadata;Policy and configuration,qos set ue_id=UE-000113 src_ip=192.0.2.10 proto=UDP dst_port=3074 class=low_latency,no,none,
B3-017,qos_config,Cell Cell-46D의 가입자 001010000000114가 백업 트래픽을 과도하게 사용해. backup app은 10Mbps로 제한해줘.,"{""IMSI"": ""001010000000114"", ""CELL_ID"": ""Cell-46D"", ""application"": ""backup"", ""limit"": ""10Mbps""}",User identity;Location and mobility;Traffic metadata;Policy and configuration,qos set imsi=001010000000114 cell=Cell-46D app=backup rate_limit=10Mbps,no,none,
B3-018,qos_config,"동일 IP 192.0.2.11가 두 slice에서 보이는데, 같은 UE로 보고 streaming을 25Mbps로 제한해줘.
slice=1-010002 IP=192.0.2.11 app=streaming
slice=1-020001 IP=192.0.2.11 app=streaming","{""IP"": ""192.0.2.11"", ""S_NSSAI"": [""1-010002"", ""1-020001""], ""application"": ""streaming""}",User identity;Traffic metadata;Network topology;Policy and configuration,qos set src_ip=192.0.2.11 app=streaming rate_limit=25Mbps scope=all_slices,yes,same_ip_across_slices,C3: same IP across two slices must map consistently.
B3-019,qos_config,"IMSI 001010000000115의 VoNR 트래픽은 우선순위 유지하고, 같은 단말의 bulk data만 15Mbps로 제한해줘. IP는 198.51.100.25야.","{""IMSI"": ""001010000000115"", ""IP"": ""198.51.100.25"", ""applications"": [""VoNR"", ""bulk_data""]}",User identity;Traffic metadata;Policy and configuration,qos set imsi=001010000000115 src_ip=198.51.100.25 app=bulk_data rate_limit=15Mbps preserve_app=VoNR,no,none,
B3-020,qos_config,UPF UPF-B에서 IMSI 001010000000116의 uplink UDP flood가 보여. UDP 전체를 5Mbps로 낮춰줘.,"{""UPF"": ""UPF-B"", ""IMSI"": ""001010000000116"", ""protocol"": ""UDP"", ""direction"": ""uplink"", ""limit"": ""5Mbps""}",User identity;Traffic metadata;Network topology;Policy and configuration,qos set upf=UPF-B imsi=001010000000116 proto=UDP direction=uplink rate_limit=5Mbps,no,none,
B3-021,sdn_flow_config,스위치 s1에서 198.51.100.26 -> 203.0.113.40 TCP 8080 플로우를 drop하는 SDN rule을 만들어줘.,"{""switch"": ""s1"", ""src_ip"": ""198.51.100.26"", ""dst_ip"": ""203.0.113.40"", ""protocol"": ""TCP"", ""dst_port"": ""8080""}",User identity;Traffic metadata;Network topology;Policy and configuration,sdn flow add switch=s1 match_src=198.51.100.26 match_dst=203.0.113.40 proto=TCP dst_port=8080 action=drop,no,none,
B3-022,sdn_flow_config,s2에서 IMSI 001010000000117의 IP 203.0.113.41 트래픽을 포트 3으로 포워딩해줘.,"{""switch"": ""s2"", ""IMSI"": ""001010000000117"", ""IP"": ""203.0.113.41"", ""out_port"": ""3""}",User identity;Traffic metadata;Network topology;Policy and configuration,sdn flow add switch=s2 match_src=203.0.113.41 imsi=001010000000117 action=forward out_port=3,no,none,
B3-023,sdn_flow_config,"동일 출발지 10.40.0.55가 leaf-01과 leaf-02에서 동시에 관찰돼. 두 스위치 모두에서 목적지 203.0.113.40으로 가는 UDP 123을 차단해줘.
leaf-01: 10.40.0.55 -> 203.0.113.40:123
leaf-02: 10.40.0.55 -> 203.0.113.40:123","{""switches"": [""leaf-01"", ""leaf-02""], ""src_ip"": ""10.40.0.55"", ""dst_ip"": ""203.0.113.40"", ""protocol"": ""UDP"", ""dst_port"": ""123""}",User identity;Traffic metadata;Network topology;Policy and configuration,"sdn flow add switches=leaf-01,leaf-02 match_src=10.40.0.55 match_dst=203.0.113.40 proto=UDP dst_port=123 action=drop",yes,same_ip_multiple_switches,C3: same source IP across two switches.
B3-024,sdn_flow_config,스위치 s3에서 10.40.0.56의 SSH 접속을 controller policy에 따라 차단해줘.,"{""switch"": ""s3"", ""src_ip"": ""10.40.0.56"", ""application"": ""SSH"", ""dst_port"": ""22"", ""controller_policy"": ""controller policy""}",User identity;Traffic metadata;Network topology;Policy and configuration,sdn flow add switch=s3 match_src=10.40.0.56 proto=TCP dst_port=22 action=drop,no,none,
B3-025,sdn_flow_config,leaf-01에서 10.41.2.77 -> 10.41.2.78 ICMP 플로우를 30초 동안 rate-limit 해줘.,"{""switch"": ""leaf-01"", ""src_ip"": ""10.41.2.77"", ""dst_ip"": ""10.41.2.78"", ""protocol"": ""ICMP"", ""duration"": ""30s""}",User identity;Traffic metadata;Network topology;Policy and configuration,sdn flow add switch=leaf-01 match_src=10.41.2.77 match_dst=10.41.2.78 proto=ICMP action=rate_limit duration=30s,no,none,
B3-026,sdn_flow_config,"SDN 컨트롤러 ctrl-east에서 switch leaf-02의 flow rule conflict를 해결해. 10.20.3.45의 HTTP는 allow, 같은 IP의 unknown port는 drop으로 정리해줘.","{""controller"": ""ctrl-east"", ""switch"": ""leaf-02"", ""IP"": ""10.20.3.45"", ""allow_port"": ""80"", ""drop_scope"": ""unknown_port""}",User identity;Traffic metadata;Network topology;Policy and configuration,sdn flow add switch=leaf-02 match_src=10.20.3.45 proto=TCP dst_port=80 action=allow; sdn flow add switch=leaf-02 match_src=10.20.3.45 dst_port=unknown action=drop,no,none,
B3-027,sdn_flow_config,spine-01에서 slice 1-030001의 10.20.3.46 -> 10.20.4.11 트래픽만 백업 경로 port 7로 보내줘.,"{""switch"": ""spine-01"", ""S_NSSAI"": ""1-030001"", ""src_ip"": ""10.20.3.46"", ""dst_ip"": ""10.20.4.11"", ""out_port"": ""7""}",User identity;Traffic metadata;Network topology;Policy and configuration,sdn flow add switch=spine-01 slice=1-030001 match_src=10.20.3.46 match_dst=10.20.4.11 action=forward out_port=7,no,none,
B3-028,sdn_flow_config,"두 로그 모두 같은 UE-IP야. 중복 rule 만들지 말고 하나만 만들어줘.
logA switch=s1 UE=UE-000118 IP=10.20.5.22 dst=203.0.113.41:8443
logB switch=s1 UE=UE-000118 IP=10.20.5.22 dst=203.0.113.41:8443","{""switch"": ""s1"", ""UE_ID"": ""UE-000118"", ""IP"": ""10.20.5.22"", ""dst_ip"": ""203.0.113.41"", ""dst_port"": ""8443""}",User identity;Traffic metadata;Network topology;Policy and configuration,sdn flow add switch=s1 match_src=10.20.5.22 match_dst=203.0.113.41 proto=TCP dst_port=8443 action=drop,yes,duplicate_same_flow,C3: duplicate same flow should not create two inconsistent rules.
B3-029,sdn_flow_config,leaf-01에서 10.21.1.15가 DNS tunneling 의심이야. UDP 53은 drop하고 나머지는 기존 정책 유지.,"{""switch"": ""leaf-01"", ""src_ip"": ""10.21.1.15"", ""protocol"": ""UDP"", ""dst_port"": ""53""}",User identity;Traffic metadata;Network topology;Policy and configuration,sdn flow add switch=leaf-01 match_src=10.21.1.15 proto=UDP dst_port=53 action=drop,no,none,
B3-030,sdn_flow_config,ctrl-west 정책에 맞춰 switch s1에서 IMSI 001010000000119의 IP 10.21.1.16 트래픽을 quarantine port 9로 보내줘.,"{""controller"": ""ctrl-west"", ""switch"": ""s1"", ""IMSI"": ""001010000000119"", ""IP"": ""10.21.1.16"", ""out_port"": ""9""}",User identity;Traffic metadata;Network topology;Policy and configuration,sdn flow add switch=s1 match_src=10.21.1.16 imsi=001010000000119 action=forward out_port=9 reason=quarantine,no,none,
B3-031,ran_handover_config,IMSI 001010000000120가 Cell-17A에서 Cell-18C로 넘어갈 때 packet loss가 커. 이 UE는 Cell-18C handover를 임시 차단해줘.,"{""IMSI"": ""001010000000120"", ""source_cell"": ""Cell-17A"", ""target_cell"": ""Cell-18C"", ""metric"": ""packet_loss""}",User identity;Location and mobility;Traffic metadata;Policy and configuration,ran handover set imsi=001010000000120 source_cell=Cell-17A target_cell=Cell-18C action=block,no,none,
B3-032,ran_handover_config,UE-ID UE-ABC101가 gNB-7의 Cell-21B에서 Cell-22D로 이동할 때 RSRP가 -119야. handover 대상에서 Cell-22D를 제외해줘.,"{""UE_ID"": ""UE-ABC101"", ""gNB_ID"": ""gNB-7"", ""source_cell"": ""Cell-21B"", ""target_cell"": ""Cell-22D"", ""RSRP"": ""-119""}",User identity;Location and mobility;Traffic metadata;Policy and configuration,ran handover set ue_id=UE-ABC101 source_cell=Cell-21B target_cell=Cell-22D action=exclude,no,none,
B3-033,ran_handover_config,"동일 IMSI가 세 번 같은 실패를 냈어. 하나의 handover block rule로 만들어줘.
1) IMSI=001010000000101 Cell-31A->Cell-32B fail
2) IMSI=001010000000101 Cell-31A->Cell-32B fail
3) IMSI=001010000000101 Cell-31A->Cell-32B fail","{""IMSI"": ""001010000000101"", ""source_cell"": ""Cell-31A"", ""target_cell"": ""Cell-32B"", ""events"": 3}",User identity;Location and mobility;Traffic metadata;Policy and configuration,ran handover set imsi=001010000000101 source_cell=Cell-31A target_cell=Cell-32B action=block reason=repeated_failure,yes,same_imsi_repeated_handover_failure,C3: same IMSI repeated across three lines.
B3-034,ran_handover_config,gNB-21에서 SUPI imsi-001010000000102의 neighbor Cell-45C 품질이 낮아. 해당 neighbor cell 우선순위를 low로 내려줘.,"{""SUPI"": ""imsi-001010000000102"", ""gNB_ID"": ""gNB-21"", ""neighbor_cell"": ""Cell-45C""}",User identity;Location and mobility;Network topology;Policy and configuration,ran neighbor set supi=imsi-001010000000102 access_node=gNB-21 neighbor_cell=Cell-45C priority=low,no,none,
B3-035,ran_handover_config,IMSI 001010000000103의 handover path가 Cell-17A->Cell-18C->Cell-21B로 흔들려. 이 가입자는 Cell-21B를 preferred target으로 설정해줘.,"{""IMSI"": ""001010000000103"", ""handover_path"": [""Cell-17A"", ""Cell-18C"", ""Cell-21B""], ""preferred_cell"": ""Cell-21B""}",User identity;Location and mobility;Policy and configuration,ran handover set imsi=001010000000103 preferred_target=Cell-21B path=Cell-17A>Cell-18C>Cell-21B,no,none,
B3-036,ran_handover_config,Cell Cell-46D의 UE 001010000000104가 SINR 1로 떨어져. target Cell-45C로 강제 handover 정책을 만들어줘.,"{""IMSI"": ""001010000000104"", ""source_cell"": ""Cell-46D"", ""target_cell"": ""Cell-45C"", ""SINR"": ""1""}",User identity;Location and mobility;Traffic metadata;Policy and configuration,ran handover set imsi=001010000000104 source_cell=Cell-46D target_cell=Cell-45C action=force,no,none,
B3-037,ran_handover_config,gNB-22에서 UE UE-000105가 neighbor Cell-18C로 갈 때 latency가 200ms야. 그 neighbor를 이 UE에 대해 block해줘.,"{""UE_ID"": ""UE-000105"", ""gNB_ID"": ""gNB-22"", ""neighbor_cell"": ""Cell-18C"", ""latency"": ""200ms""}",User identity;Location and mobility;Traffic metadata;Policy and configuration,ran neighbor set ue_id=UE-000105 access_node=gNB-22 neighbor_cell=Cell-18C action=block,no,none,
B3-038,ran_handover_config,"아래 두 UE가 같은 Cell-21B에서 Cell-22D로 실패해. 각각 별도 rule로 만들되 cell mapping은 유지해줘.
IMSI=001010000000106 from Cell-21B to Cell-22D
IMSI=001010000000107 from Cell-21B to Cell-22D","{""IMSIs"": [""001010000000106"", ""001010000000107""], ""source_cell"": ""Cell-21B"", ""target_cell"": ""Cell-22D""}",User identity;Location and mobility;Policy and configuration,ran handover set imsi=001010000000106 source_cell=Cell-21B target_cell=Cell-22D action=block; ran handover set imsi=001010000000107 source_cell=Cell-21B target_cell=Cell-22D action=block,yes,two_imsis_same_cell_pair,C3: same cell pair shared by two IMSIs must remain consistent.
B3-039,slice_policy_config,S-NSSAI 1-010001에서 IMSI 001010000000108의 enterprise app 트래픽을 UPF-A 경로로 고정해줘.,"{""S_NSSAI"": ""1-010001"", ""IMSI"": ""001010000000108"", ""application"": ""enterprise_app"", ""UPF"": ""UPF-A""}",User identity;Traffic metadata;Network topology;Policy and configuration,slice policy set slice=1-010001 imsi=001010000000108 app=enterprise_app upf=UPF-A,no,none,
B3-040,slice_policy_config,IP 10.22.7.80가 slice 1-010002에서 비정상 upload를 발생시켜. 이 IP만 low-priority slice로 옮겨줘.,"{""IP"": ""10.22.7.80"", ""S_NSSAI"": ""1-010002"", ""traffic"": ""abnormal upload""}",User identity;Traffic metadata;Network topology;Policy and configuration,slice policy set src_ip=10.22.7.80 from_slice=1-010002 target_class=low_priority,no,none,
B3-041,slice_policy_config,"같은 IMSI가 두 UPF 로그에 보여. IMSI 001010000000109의 IoT 트래픽은 UPF-C로 통일해줘.
UPF-A log: IMSI=001010000000109 app=IoT
UPF-B log: IMSI=001010000000109 app=IoT","{""IMSI"": ""001010000000109"", ""UPFs"": [""UPF-A"", ""UPF-B""], ""target_UPF"": ""UPF-C"", ""application"": ""IoT""}",User identity;Traffic metadata;Network topology;Policy and configuration,slice policy set imsi=001010000000109 app=IoT upf=UPF-C,yes,same_imsi_multiple_upfs,C3: same IMSI appears under two topology nodes.
B3-042,slice_policy_config,S-NSSAI 1-020001의 IMSI 001010000000110는 emergency profile이므로 QoS priority를 critical로 설정해줘.,"{""S_NSSAI"": ""1-020001"", ""IMSI"": ""001010000000110"", ""profile"": ""emergency""}",User identity;Network topology;Policy and configuration,slice policy set slice=1-020001 imsi=001010000000110 priority=critical profile=emergency,no,none,
B3-043,slice_policy_config,UPF-B에서 IP 10.22.7.81의 gaming flow는 MEC edge-seoul-01로 보내고 나머지는 기존 경로 유지해줘.,"{""UPF"": ""UPF-B"", ""IP"": ""10.22.7.81"", ""application"": ""gaming"", ""edge_node"": ""edge-seoul-01""}",User identity;Traffic metadata;Network topology;Policy and configuration,slice policy set upf=UPF-B src_ip=10.22.7.81 app=gaming edge_node=edge-seoul-01,no,none,
B3-044,slice_policy_config,Slice 1-030001에서 SUPI imsi-001010000000111의 bulk traffic을 deprioritize 해줘.,"{""S_NSSAI"": ""1-030001"", ""SUPI"": ""imsi-001010000000111"", ""application"": ""bulk""}",User identity;Traffic metadata;Network topology;Policy and configuration,slice policy set slice=1-030001 supi=imsi-001010000000111 app=bulk priority=low,no,none,
B3-045,edge_acl_config,edge-seoul-01에서 IP 10.30.8.9가 internal API /billing에 접근해. 이 IP의 /billing 접근을 deny하는 edge ACL을 만들어줘.,"{""edge_node"": ""edge-seoul-01"", ""IP"": ""10.30.8.9"", ""internal_api"": ""/billing""}",User identity;Network topology;Internal RAG documents;Policy and configuration,edge acl add node=edge-seoul-01 action=deny src_ip=10.30.8.9 path=/billing,no,none,
B3-046,edge_acl_config,edge-busan-01의 runbook RB-SEC-17에 따라 IMSI 001010000000112의 IP 10.30.8.10를 quarantine ACL에 추가해줘.,"{""edge_node"": ""edge-busan-01"", ""runbook_id"": ""RB-SEC-17"", ""IMSI"": ""001010000000112"", ""IP"": ""10.30.8.10""}",User identity;Network topology;Internal RAG documents;Policy and configuration,edge acl add node=edge-busan-01 action=quarantine src_ip=10.30.8.10 imsi=001010000000112 source_runbook=RB-SEC-17,no,none,
B3-047,operator_history_config,지난 조치 TCK-9001에서 차단했던 IP 192.0.2.10와 같은 가입자 IMSI 001010000000113가 다시 탐지됐어. 동일한 deny rule을 재적용해줘.,"{""ticket_id"": ""TCK-9001"", ""IP"": ""192.0.2.10"", ""IMSI"": ""001010000000113""}",User identity;Operator interaction history;Policy and configuration,firewall add action=deny src_ip=192.0.2.10 imsi=001010000000113 source_ticket=TCK-9001,no,none,
B3-048,operator_history_config,"두 티켓이 같은 IP를 가리켜. 중복 없이 하나의 quarantine rule로 정리해줘.
TCK-9002: IP=192.0.2.11 IMSI=001010000000114
TCK-9003: IP=192.0.2.11 IMSI=001010000000114","{""ticket_ids"": [""TCK-9002"", ""TCK-9003""], ""IP"": ""192.0.2.11"", ""IMSI"": ""001010000000114""}",User identity;Operator interaction history;Policy and configuration,"firewall add action=quarantine src_ip=192.0.2.11 imsi=001010000000114 source_tickets=TCK-9002,TCK-9003",yes,same_ip_same_imsi_across_tickets,C3: same IP/IMSI appears across two operator-history records.
B3-049,rag_doc_config,내부 문서 CFG-SNAP-22에 따르면 switch leaf-02의 관리망 IP는 198.51.100.25야. 이 관리망 IP에서 외부 203.0.113.41로 나가는 트래픽을 차단해줘.,"{""config_snapshot_id"": ""CFG-SNAP-22"", ""switch"": ""leaf-02"", ""mgmt_ip"": ""198.51.100.25"", ""dst_ip"": ""203.0.113.41""}",User identity;Network topology;Internal RAG documents;Policy and configuration,sdn flow add switch=leaf-02 match_src=198.51.100.25 match_dst=203.0.113.41 action=drop source_doc=CFG-SNAP-22,no,none,
B3-050,rag_doc_config,"runbook RB-RAN-04와 로그가 같은 Cell pair를 말해. Cell-17A에서 Cell-18C로 가는 IMSI 001010000000115 handover를 block rule로 만들어줘.
RB-RAN-04: risky_pair=Cell-17A->Cell-18C
log: IMSI=001010000000115 from Cell-17A to Cell-18C fail","{""runbook_id"": ""RB-RAN-04"", ""IMSI"": ""001010000000115"", ""source_cell"": ""Cell-17A"", ""target_cell"": ""Cell-18C""}",User identity;Location and mobility;Internal RAG documents;Policy and configuration,ran handover set imsi=001010000000115 source_cell=Cell-17A target_cell=Cell-18C action=block source_runbook=RB-RAN-04,yes,same_cell_pair_runbook_and_log,C3: same cell pair appears in internal document and log.
